DEPTH_WMSF	HCGR
0.1524	-0.1063
0.3048	-0.2729
0.4572	-0.0033
0.6096	-0.1943
0.762	-0.362
0.9144	0.619
1.0668	-0.4306
1.2192	0.3992
1.3716	1.1008
1.524	0.9045
1.6764	1.0351
1.8288	1.7592
1.9812	2.0811
2.1336	2.9011
2.286	3.1511
2.4384	3.6798
2.5908	2.3038
2.7432	3.0477
2.8956	2.4894
3.048	1.7469
3.2004	1.7697
3.3528	2.0277
3.5052	1.8907
3.6576	2.1064
3.81	1.4259
3.9624	1.7073
4.1148	1.8171
4.2672	1.6927
4.4196	1.2196
4.572	1.2033
4.7244	1.1419
4.8768	1.0992
5.0292	0.4273
5.1816	0.0826
5.334	0.4452
5.4864	0.4082
5.6388	0.2159
5.7912	0.578
5.9436	0.8162
6.096	0.8282
6.2484	0.9172
6.4008	0.826
6.5532	0.9472
6.7056	1.1216
6.858	1.7383
7.0104	1.1842
7.1628	1.2996
7.3152	1.4289
7.4676	1.3298
7.62	1.1529
7.7724	1.4706
7.9248	1.8283
8.0772	2.1813
8.2296	1.8196
8.382	1.523
8.5344	0.6184
8.6868	1.0526
8.8392	1.3477
8.9916	1.5522
9.144	1.1177
9.2964	1.2016
9.4488	0.9988
9.6012	1.2268
9.7536	1.0758
9.906	1.0019
10.0584	0.8331
10.2108	1.0224
10.3632	0.9132
10.5156	0.8494
10.668	0.8539
10.8204	1.1109
10.9728	1.1825
11.1252	0.995
11.2776	1.135
11.43	1.3382
11.5824	1.6293
11.7348	2.0075
11.8872	2.706
12.0396	2.2329
12.192	2.0663
12.3444	2.2389
12.4968	1.9988
12.6492	2.0211
12.8016	2.879
12.954	2.5072
13.1064	2.6936
13.2588	2.3545
13.4112	2.9633
13.5636	2.3996
13.716	2.2666
13.8684	1.8982
14.0208	2.2954
14.1732	2.0506
14.3256	1.4774
14.478	0.9045
14.6304	0.1515
14.7828	-0.6497
14.9352	-0.4869
15.0876	-0.3792
15.24	-0.5019
15.3924	-0.5577
15.5448	-0.507
15.6972	-0.9298
15.8496	-0.7783
16.002	-0.4865
16.1544	-0.1944
16.3068	0.8621
16.4592	1.6486
16.6116	1.3008
16.764	1.8628
16.9164	1.7822
17.0688	1.8331
17.2212	2.3109
17.3736	2.4692
17.526	1.9878
17.6784	1.5948
17.8308	1.7878
17.9832	2.3588
18.1356	2.3195
18.288	2.5624
18.4404	1.9474
18.5928	1.8802
18.7452	2.2834
18.8976	2.1738
19.05	3.2893
19.2024	3.1118
19.3548	3.3795
19.5072	2.754
19.6596	2.75
19.812	2.424
19.9644	2.9486
20.1168	3.8321
20.2692	3.9834
20.4216	3.785
20.574	3.2183
20.7264	2.5133
20.8788	2.7902
21.0312	2.5395
21.1836	2.5368
21.336	2.5082
21.4884	2.9229
21.6408	2.6828
21.7932	2.443
21.9456	2.4743
22.098	2.7434
22.2504	1.8928
22.4028	2.8046
22.5552	2.619
22.7076	2.3614
22.86	2.2256
23.0124	2.5344
23.1648	2.4349
23.3172	2.6183
23.4696	2.2874
23.622	1.6345
23.7744	1.6637
23.9268	2.5153
24.0792	2.1807
24.2316	1.719
24.384	2.4082
24.5364	2.8506
24.6888	2.2337
24.8412	2.5224
24.9936	3.0941
25.146	4.2513
25.2984	4.8538
25.4508	4.4517
25.6032	3.938
25.7556	3.8909
25.908	4.6034
26.0604	4.0918
26.2128	3.4922
26.3652	2.8501
26.5176	1.9547
26.67	1.7952
26.8224	2.2602
26.9748	2.3629
27.1272	2.2232
27.2796	1.9874
27.432	1.6592
27.5844	1.3575
27.7368	1.1291
27.8892	1.1547
28.0416	1.7636
28.194	2.6414
28.3464	2.19
28.4988	1.2994
28.6512	1.9933
28.8036	1.9763
28.956	2.2775
29.1084	1.8012
29.2608	1.7328
29.4132	1.6742
29.5656	1.187
29.718	0.742
29.8704	0.8188
30.0228	1.7616
30.1752	1.7483
30.3276	1.0449
30.48	0.5616
30.6324	0.9669
30.7848	0.9977
30.9372	1.2895
31.0896	1.3347
31.242	2.3833
31.3944	2.9277
31.5468	3.1141
31.6992	2.7105
31.8516	2.5395
32.004	2.9167
32.1564	2.2855
32.3088	2.4002
32.4612	1.7044
32.6136	1.9394
32.766	2.0703
32.9184	1.2955
33.0708	1.3495
33.2232	0.6697
33.3756	1.0634
33.528	1.4822
33.6804	1.5911
33.8328	2.6999
33.9852	2.181
34.1376	2.0819
34.29	1.6151
34.4424	1.1044
34.5948	2.0363
34.7472	2.2686
34.8996	3.0866
35.052	2.1088
35.2044	1.658
35.3568	1.3311
35.5092	1.6403
35.6616	2.503
35.814	2.0572
35.9664	2.1161
36.1188	2.3944
36.2712	2.6001
36.4236	2.1612
36.576	1.2298
36.7284	1.3969
36.8808	1.4428
37.0332	1.5203
37.1856	1.2524
37.338	0.8327
37.4904	1.781
37.6428	1.5142
37.7952	1.6926
37.9476	1.9591
