DEPTH	Depth (m)	Depth bsf	Caliper	Bulk Density Correction	Sonic	Gamma Ray	IL-Deep Resistivity	Latero-Log Deep	Latero-Log Shallow	MSFL Resistivity	Neutron Porosity	Photo Electric Factor	Bulk Density	Spherical Focusing Log	Spontaneous Potential
433	131.9784	7.9784	-999.25	-999.25	-999.25	9.286	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
433.5	132.1308	8.1308	-999.25	-999.25	-999.25	9.547	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
434	132.2832	8.2832	-999.25	-999.25	-999.25	10.2442	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
434.5	132.4356	8.4356	-999.25	-999.25	-999.25	10.2708	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
435	132.588	8.588	-999.25	-999.25	-999.25	10.5451	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
435.5	132.7404	8.7404	-999.25	-999.25	-999.25	9.985	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
436	132.8928	8.8928	-999.25	-999.25	-999.25	8.3283	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
436.5	133.0452	9.0452	-999.25	-999.25	-999.25	7.9558	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
437	133.1976	9.1976	-999.25	-999.25	-999.25	8.2957	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
437.5	133.35	9.35	-999.25	-999.25	-999.25	8.9979	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
438	133.5024	9.5024	-999.25	-999.25	-999.25	9.2725	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
438.5	133.6548	9.6548	-999.25	-999.25	-999.25	9.0536	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
439	133.8072	9.8072	-999.25	-999.25	-999.25	8.7996	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
439.5	133.9596	9.9596	-999.25	-999.25	-999.25	8.576	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
440	134.112	10.112	-999.25	-999.25	-999.25	8.2167	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
440.5	134.2644	10.2644	-999.25	-999.25	-999.25	7.6326	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
441	134.4168	10.4168	-999.25	-999.25	-999.25	7.5779	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
441.5	134.5692	10.5692	-999.25	-999.25	-999.25	8.2772	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
442	134.7216	10.7216	-999.25	-999.25	-999.25	8.8681	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
442.5	134.874	10.874	-999.25	-999.25	-999.25	9.8724	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
